GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Util,org.klojang.util.exception,UncheckedException,59,40,2,2,17,10,13,4,11,4
Klojang Util,org.klojang.util.exception,RootException,53,27,0,0,17,5,12,4,12,4
Klojang Util,org.klojang.util.exception,ExceptionOrigin,71,179,15,19,12,39,17,12,8,4
Klojang Util,org.klojang.util,ResizeMethod,25,155,1,23,3,29,1,16,0,4
Klojang Util,org.klojang.util,IOMethods,55,468,1,15,22,94,5,36,4,29
Klojang Util,org.klojang.util,IOMethods.new SimpleFileVisitor() {...},0,11,0,0,0,5,0,3,0,3
Klojang Util,org.klojang.util,ClassMethods,159,281,16,30,32,56,20,28,10,15
Klojang Util,org.klojang.util,MutableInt,0,281,0,44,0,46,0,52,0,30
Klojang Util,org.klojang.util,MathMethods,6,1218,0,96,2,194,1,86,1,38
Klojang Util,org.klojang.util,ArrayType,5,292,1,11,1,64,1,25,0,20
Klojang Util,org.klojang.util,ObjectMethods,67,1088,29,255,17,187,25,174,3,54
Klojang Util,org.klojang.util,InvokeMethods,83,46,4,0,25,13,7,5,5,5
Klojang Util,org.klojang.util,StringMethods,71,1765,14,230,9,360,14,177,2,67
Klojang Util,org.klojang.util,ExceptionMethods,22,308,3,25,6,57,4,25,1,14
Klojang Util,org.klojang.util,CollectionMethods,49,932,4,40,10,166,5,64,2,45
Klojang Util,org.klojang.util,Tuple2,0,35,0,0,0,7,0,5,0,5
Klojang Util,org.klojang.util,InvokeException,0,35,0,0,0,7,0,3,0,3
Klojang Util,org.klojang.util,ArrayMethods,79,1183,8,60,16,223,16,102,10,74
Klojang Util,org.klojang.util,AnyTuple2,6,43,2,6,0,6,4,7,2,5
Klojang Util,org.klojang.util.collection,IntArrayList,30,737,5,51,8,163,5,69,1,45
Klojang Util,org.klojang.util.collection,UnmodifiableIntList,2,290,1,19,1,62,1,46,0,37
Klojang Util,org.klojang.util.collection,IntList,27,169,8,4,8,30,6,10,1,9
Klojang Util,org.klojang.util.collection,EnumToIntMap,16,536,3,29,3,96,3,56,0,43
